label,tweet
1,@VirginAmerica you will match my #AmericanAirlines status? Cool!
0,@AmericanAir have been waiting over THREE hours to talk to someone to rebook a flight due to weather. does call back service actually work??
0,@united UA1740. 4.5 hr mechanical delay all I get is $50 voucher? Will tweet when I book next trip not on UA.
1,@USAirways 1899. Thanks
1,@SouthwestAir thank you!!!
0,"@united my luggage is set to go to DCA however, I am rerouted to Dulles. Currently in NOLO however bags are in Houston. Can you fix this?"
0,"@united read the thread. I booked 1st class , now seated at 38E even though United Twtr account confirmed Eco Premium."
1,@united you are one great airline ❤️
0,@united are the ones who make it difficult for me.
0,@united 3 phone reps. None could see I was rebooked so missed that flight.Told to go standby for a nonexistent Late Flightr flight. Did I hurt you?
0,@SouthwestAir when will sw return to customer service?  Business travelers made sw now sw ignores us.
1,@JetBlue Thanks!  I made it 😃
0,@USAirways Who intentionally buys a flight with a 10 hour layover?  And what kind of airline would charge $200 to fix it? Wow... #usairways
0,@AmericanAir She could even see that I had tried to make the transaction but wouldn't offer me the price I'd tried to purchase it at.
0,@united why is it that Sundays when my husband travels to Chicago he's stuck at Tarmac &amp; misses connecting flight always
0,"@USAirways I promise, if I can help it I will nvr fly w/u again. Even if I have 2 pay more $$$ 2 fly w/ sum1 else #badcustomerservice"
1,@united is officially my favorite airline. They have created magic for me all day!!! #friendlyskies #careyon
0,@AmericanAir have been in call cue for 11 hours. No call yet. Wife in cue for 9 hours.  Got a call but was hung up on.
0,"@AmericanAir jal and cathay pacific so no, I can't do it online."
0,@USAirways thank you for reaching out to me. Hopefully my request will be fixed and I can remain a loyal customer.
0,@united your airline is a joke. 1 person working special services at EWR?!? Line is 15 ppl deep. GROW UP!
0,"“@AmericanAir: @RussellsWriting Russ, please contact Reservations at 800-433-7300 for reFlight Booking Problems options.” Good luck with that!"
0,"@AmericanAir Cancelled Flighted flights, now I'm rerouted and have over 12 hrs of travel but you will bump paying customers for non revs. #custserv"
0,@AmericanAir @CNN @nbsnewsr @cnnbrk except you aren't working with her @AmericanAir youve done nothing to help
0,@SouthwestAir Thank you.  Twitter says I can't DM someone unless they follow me.  Can @SouthwestAir follows my twitter?
1,@united thank you! Much appreciation for your help.
0,@AmericanAir @cjdjpdx not a valid response in 2015 for a multinational corp whose profits are measured in billions. Stop understaffing!
0,"@USAirways after 2 hrs of trying to reach real human, finally did and been on hold for 1:36 hrs for out of synch reservation."
0,@USAirways - delayed 1851. Need an extra 5 min to make 1769. Would appreciate a little help again this week.
1,@united I will. Thanks.
0,@usairways if you could change your name to @southwestair and do what they do...that'd be awesome. Also this plane smells like onion rings.
0,@VirginAmerica shame on VA for making people spend money in stranded cities when other airlines are landing at JFK! Who will reimburse me?
0,"@USAirways I thought about moving a lot of business over too, but first impressions count.. Glad it was miles and not cash."
0,@SouthwestAir not letting me DM. # is FSZ4YO
1,@SouthwestAir thanks!! We will see what happens!!
0,@united you should spend all of the money you take for our tickets and update your planes! Each flight has a maintenance issue!!!
0,"@united You allow shady 3rd party services to sell your tickets and then refuse to help the customer, who's left holding the bag.
#flyunited"
1,@AmericanAir thanks 😩. idk if it still Late Flight but I hope I get it tonight 😭
0,@united they held the flight for our group of nearly 20 people.
1,@AmericanAir thank you for the confirmation.
0,@SouthwestAir finally boarded. Looks like I'll make it to my final destination but my baggage won't # baggagefail #bagsflyfreebutnotwithme
0,@united Thanks but why did this occur? You guys had 3 hours extra to get my bag on due to your delay. So that's 7 hours you had. #fail!
0,@SouthwestAir from groupA to group C. We have never got to sit next to each other on any south west flight not even on our honey moon
1,@SouthwestAir @FortuneMagazine Superb choice - SWA. I am a raving fan. They even take stress out of weather-reLate Flightd glitches!  #custexp
1,@JetBlue thanks!
0,@AmericanAir I was told I had a 20minute wait time after waiting hours. And an hour has gone by. This is ridiculous
0,@JetBlue shocker my flight delayed an hour. Thanks for reminding me why I switched to delta.
0,@AmericanAir you're running 5+ hours behind replying to anyone via Twitter. this is beyond unacceptable. I'm running out of time!
1,@united @jsumiyasu I am thankful to the  United ground staff who put me in the last seat on the last flight out. Home Late Flight is still home!
0,@USAirways And it's 3:22 with no sign of boarding.... Can I please get another update?
0,@united Lovely new plane from LGA to ORD but no power outlets?
0,@SouthwestAir Yes I know that. Also noticed you offer A list boarding after A60. So your programs are too popular.
0,@united where's my damn bag??
0,@AmericanAir thanks for finally letting me get through to book my flight. Frustration  set in... #donedeal #talktoahuman
0,@SouthwestAir  the agents werenot helpful told me I would have to pay 2chng even though I Tld them going2 bwi whch is part of trvl advsry
0,@AmericanAir - where are my bags? Baggage claim C25 or C26 (flt# 959)?? I can see the plane from here? Why does it take 25 min???
0,@united send someone to the customer service counter in person. DIA concourse B across from gate B36a.
0,@united outsourcing ticket and gate agents at MIA. Ill advised. You did it in ROC and service went downhill. Keep employees and fliers first
0,@united worst airline ever. Thanks for the slew of rude agents and staff making my delayed flights even worse.
0,@JetBlue hopefully this flight Seattle to Boston 2pm will have wifi. Our first one did not and we had to entertain ourselves! #lizaapproved
0,@SouthwestAir - i needed refund on my Cancelled Flightled flights this morning and had been on hold for more than an hour X 3. what to do?
0,@USAirways I love how just to give feedback to this link I have to fill out all my personal info on a form.  You guys are the best :)
1,@AmericanAir Aww Thanks AA..DFW was on GMA up here this AM..so i understand ..Btw A.A is my Airline when im able to trv..Love you guys.:)
0,@AmericanAir what's the status of flight 3494 XNA to DFW. I'm getting different reports?
0,@united 50 minute wait...still at the gate with a broken jetway. Might miss connection
0,@united has terrible customer service &amp; doesn't feel the need to notify its customers when their flights are delayed
0,"@united worst airline in the world-8 delays, gate agent loses her mind over 1.5 lbs and charges me $100 on top of the $25 I already paid!!"
0,@JetBlue I have been on phone with rep for over 30 min and was transferred after asking not to be. She was the worse rep I ever had
0,@JetBlue I tried a burger which was good but expensive! Were lead to believe that food in the USA is cheap butnot here!
0,"@USAirways  Instead, the miles are credited to an account that i did not open
-- My request to merge the accounts is denied"
0,@SouthwestAir why so expensive to go to Vegas with stops in Late Flight June as I can get non stop for same on competition
0,@USAirways on hold for 1:23. All because they won't let me use a companion voucher online http://t.co/DPhQRgkdoA
0,@united you guys SUCK! Another Cancelled Flighted flight! Every flight with you has an issue!
0,@united thanks United I understand that. But he would actually like his own bag back! What have you done with it?! He also wants the money..
0,@USAirways always fun to get screwed out of an earlier flight (that isn't full) #crummyservice #whydidntiflysouthwest #goodluckamericanair
0,@USAirways you can't even track my bag to see where it is. It's like it's disappeared.
0,@united recent services have been very bad. My NC trip was aweful. Very disappointed and never again.
0,@USAirways delays due to refueling are out of your control? If that's true I never want to fly US Airways again
0,@AmericanAir I called reservation at 1 am and I'm still waiting for someone to call me back
0,@SouthwestAir oh look you just delayed our flight an additional half hour now arriving at 6 officially five hours after planned. 😡😡😡😡😤😤😤
0,@USAirways @AmericanAir 2hrs Late Flightr finally taking off😂😂😂
0,"@AmericanAir Yes. However, the seats they assign us that day are never together. I just want to sit with my husband! Why is that impossible?"
1,@united You're welcome.
1,Lovely! RT @JetBlue: Our fleet’s on fleek. http://t.co/Hi6Fl1AX9E
1,@USAirways FYI your customer service rep Carol is an absolute delight. So pleasant to with with and rebooked me in lightning speed! Thanks!
1,@AmericanAir awesome flight this morning on AA3230! Awesome crew and even landed early!
0,"@USAirways I was calling before I left, and as it turns out @united answered their phones instead and they rebooked my USAir flight."
0,@USAirways seriously? Every flight I have had the past 2 days has been delayed. Every single one. Terrible
1,@SouthwestAir Thanks so much!
0,"@SouthwestAir disappointed with customer service right now, my flight was only one Cancelled Flightled at my airport &amp; now I'm losing 2 days from trip"
0,@united worst service ever 😈
0,"@AmericanAir sorry so Late Flight, responded to your DM."
0,@united this is not true. Gate agents 100% caused this. And we're not helpful. Thanks for making me miss connection!! http://t.co/xAIzW2isml
0,@united Yo yo yo stuck on the tarmac for over 2 hours at @fly2ohare ... Going to miss my ride at @flypdx help please! #HelpImStuck #United
1,@SouthwestAir constantly providing wonderful views and service! #SouthwestLuv http://t.co/9UNxqOTzIK
0,@lindaSWC @united:  We don't like to hear you had a poor experience. Please share details w/our Customer Care team http://t.co/HIsc4NdMgZ.
0,@SouthwestAir your agents were the ones who were rude and unhelpful and prompted my initial tweet. This is so easy to fix.
0,"@united just like clockwork, Friday afternoon flights from LAS to DEN running Late Flight. Why does this seem to happen so consistently #KeepIt100"
1,@VirginAmerica This is such a great deal! Already thinking about my 2nd trip to @Australia &amp; I haven't even gone on my 1st trip yet! ;p
0,"@united on #UA3785 tonight and told delayed due to Late Flight crew. No idea where crew coming from, your staff ++unhelpful. Any ideas?"
1,@USAirways Sending thanks to employee Freddie in PHL Admiral Club A East for allowing me to give a day pass to my sibling stuck there today.
1,@VirginAmerica Dad on Segway is the best part of this whole infographic!
0,"@united it's Late Flight... I'm tired and understandably edgy for trying to catch my flight. I wasn't chipper, but I def was not rude."
0,"@AmericanAir would you like any additional details of my issue? Airport, flight, agent name? Or are you happy w/ this automated lip service?"
1,@USAirways finally rectified my flight situation! Thanks again
0,"@united  Your survey is too long.  I fly a lot of segments and I'll fill it out after every trip, but not if it takes more than a minute."
0,"@SouthwestAir oh, ok!  all good!  looking forward to escaping the cold for a bit!  thanks!"
1,"@AmericanAir Thanks. Having issues checking in for flight, please check our DM convo for more info."
1,@united mechanical issue. Looks like they got it fixed! Thanks for your concern.
0,@AmericanAir trying to get thru to agent since last night b/c AA changed our flight to 2 days from now. Infuriating! We need to get to SEA!
1,@SouthwestAir @karajusto OK we will! Thank you!!!
0,@USAirways No speciifc email. 1500 character limit for complaints. Is AA/US customer complaints adopting the twitter model?
0,"@USAirways was on hold for four hours, never got connected. Came to the airport and your rep essentially told me and everyone else to screw"
0,"@USAirways wont waive fees for flight Cancelled Flightlation due to #neptune To use credit, $200 fee. Couldnt reach destination @BostonBBB #notmyfault"
0,@united you are terrible.
0,@SouthwestAir flight yesterday Cancelled Flighted. Got to airport 4am today for an on time flight w was delayed Cancelled Flighted than reinstated which caused
0,"@AmericanAir hey ho its not me losing any money (only you) just next make sure you stick to the ""flyers right's booklet"""
0,@JetBlue @philpete wonder if that's the pilot tweeting you back? Is it legal to tweet and fly? What if the plane in front stops suddenly?
0,@united Another delayed United flight. I should not be this surprised or upset. I'm mostly disappointed I have to Cancelled Flight my trip with my dad
1,"@United Bringing your ""A"" game with premium cabin dining. Nice! https://t.co/zgOQoxjBQY"
0,@united thanks finally made it.. Missed meetings but what can I do now?
0,"@AmericanAir  beyond frustrated with no call back from auto hold or whatever you call it. Entered my number at 11:30 CST, still no call 2:26"
0,@JetBlue flight 16 now sent back to the gate even though the app says its leaving. Anyone have a clue? It's 36 and sunny at JFK
0,@AmericanAir Hey so I'm very disappointed with my time traveling with you! I've had the worst experience and both times the flight delayed!
0,"@AmericanAir thanks, but I had to hire a car in Chicago and drive to MKE. Does that mean I have to go to the airport?????"
0,@SouthwestAir #JamesAsworth has the worst corporate account manager #22 Brent. I will now take my 70plus flights to @Delta thank you
0,@USAirways I would appreciate a call regarding a HORRIBLE experience I had with a gate agent. Was on hold for 39 min and then hung on me.
0,@united Tks for reply. PSP employees blamed Late Flight departure on POTUS when main reasons were DVR flt Late Flight &amp; insufficient ground crew to handle
0,@united you're right. Good you caught the mechanical failure. Too bad there are no blankets. But ok.
0,@united yes refund my ticket and give me email address to let u know what happened
1,@AmericanAir thanks for following up- it finally worked!! Fingers crossed the new flight works.
0,@united unacceptable. 403 was 90 min Late Flight for a 'missing screw' our flight to Tucson left before we even landed
1,"@AmericanAir 

Fantastic support by the Twitter team. I appreciate it. Thanks again."
0,@USAirways I will NEVER fly us airways or american again and I will share this nightmare of a story to all the many others we know who fly
0,"@united MR, she's on her way now, but thought id detail the extravaganza for you... #dobetter #please http://t.co/V8PVpHMtZc"
0,"@USAirways ""Owen F"" at DCA Gate 42: #rude."
0,See what you started now @nytimes RT @JetBlue: Our fleet's on fleek. http://t.co/atd2Sm8HF4
0,@USAirways any direct number to dividend miles account info? Every Time I try them I get actually hung up on
0,@SouthwestAir I couldn't fly you today &amp; it made the trip harder + had to pay for my checked bag. #DevotedyYours but for today. :(
0,"@SouthwestAir can't checkin online for 2:00 flight tmrw fr. Cancun. ""Undefined error"" &amp; 800# not working.Family of 4 don't want Cgroup! Help"
0,"@VirginAmerica moved my seat with no notice. ""Better seat"" is cabin select not behind the row I selected👎 #DISAPPOINTED"
0,"@USAirways I've been on hold with your Divident Miles service desk for 45 minutes, and that's after being hung up on the first time."
0,@united the nightmare continues... http://t.co/TsvgbrL15f
0,@AmericanAir car accident on my way to the airport. Missed flight from rno to dca. Trying to resched but your line has 2 hr wait
0,@JetBlue I've spoken 2/emailed JB team and explained situation. Didnt seem to matter to anyone other than me. I guess I just expected more.
0,@USAirways #usairways lost a passenger today for not upholding their promise of excellent customer service!!!
1,@USAirways KUDOS to your phone support and Charlotte gate staff!
0,"@AmericanAir Its the ABC's of PR, let your customers have the most info possible. Might want to go brush up on the basics..."
0,@AmericanAir so what are you going to do for me since I can't take the option you gave me. What type of refund will you do for me?
0,"@AmericanAir I guess that is your way of saying thanks for sharing but I can't help you, Good Luck. Happy Birthday to me. Ugh"
0,@SouthwestAir freezing in the plane
0,@AmericanAir “Inconvenient” is such a convenient word.
0,@SouthwestAir the wait for the bags is longer than the actual flight.
0,@USAirways  Houston Gate 17 customer Service needs to treat people with respect. There are hardly people waiting! #chillpill #usairwaysfail
0,.@united nothing apparently. I've flown w/ you 4 times in last 3 weeks and 3 of those experiences (incl today) were clusterfucks.
0,"@united You just tried to charge $750 for a $539 flight when I tried to make a change over the phone, not including $200 change fee. WTF?"
0,@USAirways And how do you only have 1 agent at PHX customer service desk when an hour ago the line was over 100 people long?
0,@VirginAmerica why can't we book seats on your flights when we buy them or even during check in? Creates so much anxiety! #frustrated
0,"@JetBlue It's not ideal, but it's okay. Better Late Flight than never! :)"
0,@USAirways back in line at terminal because phone guy couldn't help.  One person in front of me 20 min wait again? http://t.co/HQHdAD7fvK
0,@AmericanAir I have looked and I was told it was in Guatemala last night. No record of anywhere today. I need my clothing for work tomorrow.
0,@JetBlue - trying to fly from BOS to JFK. Flight delayed. Traveling with kids. Book a hotel or are we getting out tonight?
0,@AmericanAir not enough push crews for JFK = 1.5 he delay and counting....
0,@SouthwestAir I spoke to soon... My bag was lost.. :(
0,@SouthwestAir Thank you - hung up after 1hr 7min on hold. Would you like me to DM you contact info?
1,Great management of @USAirways twitter account. Thank you.
0,@USAirways: I experienced what defines customer service on #FLT1999. A flight attendant willing to follow up with a passenger on bag charges
0,@united seriously? After waiting 2 hours on the plane for my 10:20 flight to leave at 3pm I have to leave the plane? Great. Just great.
0,"@AmericanAir oh I did. All I received back was an email saying "" delays happen"".. Uh huh.."
0,@AmericanAir If the flight I selected online was what was ticketed I would not be missing my connection. I need help getting to DFW or IAH!!
0,@AmericanAir why is raleigh not on the updated southern states advisory???
1,@united please give special thanks to Aaron in Tampa office for helping me for literally two hours! He's amazing. Mission accomplished!
